BiasWeight,Weight1,Weight2,Bias,Input1,Input2,ExpectedOutput,ActualOutput,Deviation
0,0,0,1,1,1,1,1,0
0,0,0,1,1,0,1,1,0
0,0,0,1,0,1,1,1,0
0,0,0,1,0,0,0,1,-1
-1,0,0,1,1,1,1,0,1
0,1,1,1,1,0,1,1,0
0,1,1,1,0,1,1,1,0
0,1,1,1,0,0,0,1,-1
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
-1,1,1,1,1,1,1,1,0
-1,1,1,1,1,0,1,1,0
-1,1,1,1,0,1,1,1,0
-1,1,1,1,0,0,0,0,0
